Word,Count
*,61
,57
the,33
to,22
a,21
and,20
of,17
GB/s,17
is,14
in,13
an,12
be,12
hashmap,12
hash,12
with,10
as,10
from,9
for,9
:,9
on,9
or,8
======,8
are,8
OF,8
OR,8
<mvasilisin@gmail.com>,7
Vasilišin,7
can,7
10,7
element,7
@author,7
xxHash,7
must,7
Maroš,7
function,7
by,7
This,6
64-bits,6
this,6
state,6
functions,6
-,6
Return,5
only,5
MAP_OK,5
THE,5
not,5
They,4
The,4
result,4
it,4
use,4
version,4
removed,4
at,4
any,4
include,4
AND,4
Speed,4
pointer,4
symbol,4
other,4
using,4
input,4
may,4
XXH,4
ANY,4
SMHasher,4
data,3
MAP_MISSING,3
that,3
xxhash,3
definitions,3
32-bits,3
read,3
type,3
bits,3
used,3
source,3
9,3
conditions,3
calling,3
IN,3
generate,3
value,3
automatically,3
list,3
following,3
will,3
returns,3
2,3
XXH_PRIVATE_API,3
remove,3
long,3
static,3
representation,3
provided,3
It,3
memory,3
into,3
do,3
also,3
you,3
but,3
future,3
32,3
Get,3
These,3
maintained,2
library,2
FOR,2
(single,2
Canonical,2
\TO,\,2
BUT,2
avoid,2
know,2
Calculate,2
typedef'd,2
If,2
how,2
package,2
systems,2
Jenkins,2
Name,2
want,2
internally,2
change,2
binary,2
\input,\,2
return,2
above,2
A,2
status,2
Bob,2
\LIABILITY,\,2
It's,2
\write,\,2
meaning,2
new,2
see,2
XXH*_digest(),2
address,2
THIS,2
allocated,2
Never,2
sequence,2
&,2
any_t,2
structure,2
support,2
\functions,\,2
Core,2
buffer,2
LIMITED,2
*****************************,2
incomplete,2
COPYRIGHT,2
benchmark),2
64,2
defined,2
remain,2
canonical,2
alignment,2
small,2
\"\seed"\\,2
nor,2
empty,2
stored,2
need,2
copyright,2
code,2
hashmaps,2
Note,2
never,2
slower,2
Q.Score,2
\"\input"\\,2
public,2
Streaming,2
5.4,2
****************************,2
which,2
represented,2
than,2
successfully,2
useful,2
NOT,2
1.2,2
aka,2
CONTRIBUTORS,2
possible,2
error,2
within,2
manipulate,2
different,2
f,2
\thread,\,2
Redistributions,2
***********************************************************************,2
Duo,2
linking,2
-**********************************************************************,2
\notice,\,2
Hash,2
IMPLIED,2
disclaimer,2
Clients,2
Returns,2
if,2
alter,2
predictably,2
NULL,2
Andrew,1
LIABLE,1
\on,\,1
mode,1
License,1
CrapWow,1
Hsieh,1
quality,1
kontrolu,1
example,1
each,1
two,1
available,1
`static`,1
limits,1
RAM,1
Default,1
length,1
translated,1
size,1
prefer,1
Bret,1
serious,1
and/or,1
without,1
collisions,1
association,1
POSSIBILITY,1
traversal,1
multiple,1
**************************************,1
XXH64(),1
C99,1
\speed,\,1
again,1
\Noll,\,1
5,1
Author,1
XXH32,1
numeric,1
some,1
\seed,\,1
XXH_STATIC_LINKING_ONLY,1
IF,1
full,1
perfect,1
measure,1
3,1
*************************************,1
Fast,1
should,1
such,1
suite,1
members,1
Version,1
Elliot,1
v,1
size_t,1
\memory,\,1
ARISING,1
@,1
\state,\,1
arbitrary,1
(see,1
1300,1
ON,1
Start,1
THEORY,1
int,1
WARRANTIES,1
valid,1
http://elliottback.com/wp/hashmap-implementation-in-c/,1
XXH*_reset(),1
\Finally,\,1
\Obviously,\,1
6.8,1
permitted,1
#include,1
Back,1
management,1
BUSINESS,1
format,1
CODE_HASHMAP_H,1
API,1
\EXEMPLARY,\,1
times,1
form,1
void,1
MumurHash,1
\initialCapacity,\,1
2.7,1
\INDIRECT,\,1
feed,1
SOFTWARE,1
/,1
\Then,\,1
runs,1
1.05,1
\library,\,1
retain,1
CODE_VARIABLE_H,1
0.28,1
included,1
Definitions,1
\DIRECT,\,1
MAP_OMEM,1
U64,1
tested,1
Generic,1
section,1
Methodology,1
SuperFastHash,1
write,1
OTHERWISE),1
incompatible,1
depends,1
due,1
XXH64,1
\"\length"\\,1
`XXH32()`,1
Notice,1
anything,1
pridat,1
DAMAGES,1
XXH_NAMESPACE,1
map,1
current,1
code.,1
LOSS,1
performance,1
hashes,1
SERVICES;,1
single-call,1
Comparison,1
passes,1
Redistribution,1
Remove,1
Copyright,1
\(therefore,\,1
there,1
primitive,1
your,1
terminated,1
author,1
\XXH64,\,1
functions;,1
CONSEQUENTIAL,1
SBox,1
Emulation,1
later,1
Originally,1
program,1
free,1
pre,1
directly,1
module,1
big-endian,1
iterateOverBundle(tANFBundle*);,1
Pete,1
written,1
bodies,1
produced,1
homepage,1
U32,1
\code,\,1
values,1
name,1
allow,1
XXH64_state_t,1
guaranteed,1
\"\xxhash.h"\\,1
\SOFTWARE,\,1
0.43,1
\that,\,1
\INCIDENTAL,\,1
unused,1
their,1
segments,1
\versions,\,1
`xxhash.c`,1
r35,1
tMap,1
values),1
relevant,1
\convention,\,1
Out,1
applications,1
INTERRUPTION),1
http://petewarden.typepad.com,1
You,1
records,1
arise,1
When,1
TORT,1
\"\len"\\,1
(C),1
PFany,1
after,1
TODO,1
\IS"\\,1
0.55,1
named,1
BE,1
USE,1
inlining,1
13.8,1
loadFactor,1
GOODS,1
stable,1
map_t,1
map_t's,1
Modified,1
XXH*_update(),1
EXPRESS,1
IS,1
allows,1
no,1
\"\AS\,1
XXH*_createState(),1
Appleby,1
unsigned,1
argument,1
programs,1
keys,1
initializing,1
fix,1
PROFITS;,1
\forms,\,1
make,1
libraries,1
bytes,1
contains,1
3a,1
uses,1
transformation,1
HOLDERS,1
\SPECIAL,\,1
bundli,1
separate,1
Austin,1
since,1
(large,1
_and,1
\problem,\,1
extern,1
modifier,1
call,1
`XXH64()`,1
XXH_NO_LONG_LONG,1
\them,\,1
